City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
100,Provideniya,RU,2020-08-18 18:06:33,64.38,-173.3,50.45,74,98,8.12
101,Jinotega,NI,2020-08-18 18:06:33,13.09,-86.0,77.0,65,40,6.93
102,Puerto Colombia,CO,2020-08-18 18:06:33,10.99,-74.95,89.6,66,40,4.7
103,Alice Springs,AU,2020-08-18 18:06:33,-23.7,133.88,59.0,19,0,8.05
104,Hilo,US,2020-08-18 18:06:33,19.73,-155.09,72.0,88,90,12.75
105,Zverinogolovskoye,RU,2020-08-18 18:06:33,54.46,64.85,52.72,88,88,12.44
106,Vila Velha,BR,2020-08-18 18:06:33,-20.33,-40.29,78.01,78,75,11.41
107,Kysyl-Syr,RU,2020-08-18 18:06:33,63.9,122.76,55.18,61,90,5.48
108,Nantucket,US,2020-08-18 18:04:56,41.28,-70.1,73.4,69,1,13.87
109,Poya,NC,2020-08-18 18:06:35,-21.35,165.15,61.18,74,26,2.15
110,Coos Bay,US,2020-08-18 18:06:36,43.37,-124.22,73.0,68,20,5.82
111,Tiznit,MA,2020-08-18 18:06:36,29.58,-9.5,78.17,47,0,6.71
112,Astana,KZ,2020-08-18 18:03:41,51.18,71.45,60.8,67,75,11.18
113,Sao Joao Da Barra,BR,2020-08-18 18:06:36,-21.64,-41.05,82.4,61,20,17.22
114,Alofi,NU,2020-08-18 18:06:36,-19.06,-169.92,73.4,88,42,11.41
115,Kletskaya,RU,2020-08-18 18:06:36,49.31,43.06,64.99,62,78,1.99
116,Byron Bay,AU,2020-08-18 18:05:07,-28.65,153.62,57.99,93,55,11.97
117,Kapaa,US,2020-08-18 18:06:36,22.08,-159.32,75.2,88,40,4.7
118,Chuy,UY,2020-08-18 18:02:16,-33.7,-53.46,62.96,58,0,5.14
119,Nikolskoye,RU,2020-08-18 18:06:36,59.7,30.79,60.8,59,1,4.47
120,Saskylakh,RU,2020-08-18 18:06:36,71.92,114.08,46.26,86,100,9.91
121,Port Alfred,ZA,2020-08-18 18:06:36,-33.59,26.89,53.15,71,100,34.61
122,Tuatapere,NZ,2020-08-18 18:06:36,-46.13,167.68,43.95,83,100,6.82
123,Bredasdorp,ZA,2020-08-18 18:06:36,-34.53,20.04,51.8,71,98,6.93
124,Vardo,NO,2020-08-18 18:06:36,70.37,31.11,51.8,81,96,20.8
125,Lahij,YE,2020-08-18 18:06:36,13.17,44.58,94.37,33,61,15.37
126,Kushima,JP,2020-08-18 18:06:37,31.46,131.23,82.0,78,14,1.01
127,Olafsvik,IS,2020-08-18 18:06:37,64.89,-23.71,56.21,80,0,12.17
128,Portland,US,2020-08-18 18:03:11,45.52,-122.68,73.99,60,40,6.93
129,Nanakuli,US,2020-08-18 18:06:37,21.39,-158.15,77.0,78,1,4.7
130,Hofn,IS,2020-08-18 18:06:37,64.25,-15.21,51.06,87,27,13.8
131,Mar Del Plata,AR,2020-08-18 18:05:37,-38.0,-57.56,55.0,46,95,6.93
132,East London,ZA,2020-08-18 18:06:37,-33.02,27.91,54.25,57,37,35.08
133,Turukhansk,RU,2020-08-18 18:06:37,65.82,87.98,58.8,58,0,12.35
134,Cidreira,BR,2020-08-18 18:06:37,-30.18,-50.21,65.34,88,37,12.97
135,Antofagasta,CL,2020-08-18 18:05:43,-23.65,-70.4,59.0,58,20,14.99
136,Milkovo,RU,2020-08-18 18:06:37,54.72,158.62,52.7,90,95,2.17
137,Port Blair,IN,2020-08-18 18:06:37,11.67,92.75,82.4,79,96,12.15
138,Tezu,IN,2020-08-18 18:06:37,27.92,96.17,74.55,83,46,4.05
139,Clyde River,CA,2020-08-18 18:06:37,70.47,-68.59,60.8,59,75,16.11
140,Durango,MX,2020-08-18 18:03:25,24.83,-104.83,70.36,54,98,9.46
141,Ponta Do Sol,PT,2020-08-18 18:06:38,32.67,-17.1,75.99,69,2,3.6
142,Lorengau,PG,2020-08-18 18:06:38,-2.02,147.27,81.57,78,46,8.34
143,Bandarbeyla,SO,2020-08-18 18:06:38,9.49,50.81,77.81,76,87,31.43
144,Megion,RU,2020-08-18 18:06:38,61.03,76.11,60.8,82,40,6.71
145,Dinghai,CN,2020-08-18 18:06:38,26.28,119.79,84.2,83,75,13.42
146,Hendek,TR,2020-08-18 18:06:38,40.8,30.75,75.2,60,40,4.7
147,Maniitsoq,GL,2020-08-18 18:06:38,65.42,-52.9,55.13,57,3,7.02
148,Caravelas,BR,2020-08-18 18:06:38,-17.71,-39.25,78.69,69,17,10.27
149,Meulaboh,ID,2020-08-18 18:01:49,4.14,96.13,78.98,82,99,4.5
150,Anloga,GH,2020-08-18 18:06:38,5.79,0.9,78.8,78,20,13.87
151,Dikson,RU,2020-08-18 18:06:38,73.51,80.55,53.29,70,0,6.11
152,Demidov,RU,2020-08-18 18:06:38,55.27,31.52,60.24,71,68,4.85
153,Mitsamiouli,KM,2020-08-18 18:06:38,-11.38,43.28,77.0,78,20,3.36
154,Talnakh,RU,2020-08-18 18:05:04,69.49,88.4,57.2,62,18,6.71
155,Gat,IL,2020-08-18 18:06:38,31.61,34.76,82.99,68,0,4.41
156,Buenaventura,CO,2020-08-18 18:06:38,3.88,-77.03,78.69,90,82,8.16
157,Dagana,MR,2020-08-18 18:06:38,16.52,-15.51,102.2,51,20,2.24
158,Haimen,CN,2020-08-18 18:06:39,23.19,116.61,78.8,94,75,4.47
159,Hami,CN,2020-08-18 18:06:39,42.8,93.45,83.01,14,38,6.64
160,Praxedis Guerrero,MX,2020-08-18 18:06:39,31.37,-106.02,87.01,35,40,5.82
161,Puerto Ayora,EC,2020-08-18 18:06:39,-0.74,-90.35,77.0,61,40,20.8
162,Jimma,ET,2020-08-18 18:06:39,7.67,36.83,62.04,90,100,2.82
