City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
148,Abu Dhabi,AE,24.47,54.37,95.0,71,94,6.93,overcast clouds
149,Sinegorye,RU,62.08,150.48,32.94,94,100,5.64,overcast clouds
150,Provideniya,RU,64.38,-173.3,49.66,93,100,8.12,light rain
151,Omsukchan,RU,62.53,155.8,39.63,89,100,8.16,light rain
152,Te Anau,NZ,-45.42,167.72,42.33,88,82,0.69,broken clouds
153,Chuy,UY,-33.7,-53.46,56.52,53,0,8.84,clear sky
154,Dothan,US,31.22,-85.39,84.2,62,75,8.05,broken clouds
155,Ancud,CL,-41.87,-73.82,57.99,81,0,4.7,clear sky
156,Puerto Madero,MX,14.72,-92.42,87.8,66,40,8.05,scattered clouds
157,Beringovskiy,RU,63.05,179.32,51.57,93,100,18.63,light rain
158,Nikel,RU,69.41,30.22,57.2,93,75,13.87,broken clouds
159,Wanning,CN,18.8,110.4,79.03,84,35,2.42,scattered clouds
160,Alamos,MX,27.02,-108.93,91.0,57,100,3.0,overcast clouds
161,Kibala,TD,9.11,18.35,86.0,74,20,1.7,few clouds
162,Tromso,NO,69.65,18.96,53.6,76,100,25.28,overcast clouds
163,Buin,CL,-33.73,-70.75,75.2,13,0,4.7,clear sky
164,Raudeberg,NO,61.99,5.14,61.0,94,100,19.08,heavy intensity rain
165,Vestmannaeyjar,IS,63.44,-20.27,53.6,76,0,13.87,clear sky
166,Ndele,CF,8.41,20.65,74.53,86,100,1.99,light rain
167,Kununurra,AU,-15.77,128.73,66.2,64,78,2.08,broken clouds
168,Great Yarmouth,GB,52.61,1.73,72.0,61,0,11.99,clear sky
169,Tulskiy,RU,44.51,40.18,67.05,63,89,10.51,overcast clouds
170,Los Llanos De Aridane,ES,28.66,-17.92,80.01,73,20,8.05,few clouds
171,Rio Grande,BR,-32.03,-52.1,60.8,26,0,12.75,clear sky
172,Cartagena,CO,10.4,-75.51,87.8,70,20,8.05,few clouds
173,Pacific Grove,US,36.62,-121.92,79.0,64,90,5.82,haze
174,Uruzgan,AF,32.83,66.0,67.35,21,0,1.48,clear sky
175,Reitz,ZA,-27.8,28.43,43.36,62,0,7.56,clear sky
176,Matay,EG,28.42,30.78,84.81,40,0,16.08,clear sky
177,Kavieng,PG,-2.57,150.8,81.95,80,4,11.01,clear sky
