City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
274,Kushima,JP,78.01,broken clouds,31.46,131.23,Hanaoka
276,Lagos,NG,74.84,overcast clouds,6.58,3.75,
277,Manokwari,ID,78.78,light rain,-0.87,134.08,Swiss Belhotel Manokwari
279,Palembang,ID,74.08,overcast clouds,-2.92,104.75,Aston Palembang Hotel & Conference Center
280,Qingdao,CN,70.0,light rain,36.1,120.37,Holiday Inn Qingdao City Centre
281,Aquiraz,BR,84.2,few clouds,-3.9,-38.39,Hotel Laguna Blu
282,Quatre Cocos,MU,71.6,broken clouds,-20.21,57.76,Veranda Palmar Beach Hotel
283,Kindu,CD,74.53,overcast clouds,-2.95,25.95,Hotel Karibu
285,Asfi,MA,76.93,clear sky,32.3,-9.24,Hôtel Abda
286,Helena,US,82.0,clear sky,46.59,-112.04,Holiday Inn Express & Suites Helena
291,Duki,PK,82.8,clear sky,30.15,68.57,Bhari Dada Kaka Hotel
294,Biak,ID,75.81,few clouds,-0.91,122.88,Kost Ariz
295,Icatu,BR,87.8,few clouds,-2.78,-44.07,Hotel Guaxenduba
297,Acajutla,SV,83.44,moderate rain,13.59,-89.83,Stop.
300,Korcula,HR,84.2,clear sky,42.96,17.14,Hotel Marko Polo
302,Abha,SA,78.8,few clouds,18.22,42.51,Abha Hotel
304,Bairiki,KI,80.6,few clouds,1.33,172.98,Tarawa Boutique Hotel
308,Meulaboh,ID,77.45,moderate rain,4.14,96.13,Kost Pria
309,Kahului,US,82.4,scattered clouds,20.89,-156.47,Maui Seaside Hotel
310,Salani,IN,70.52,overcast clouds,29.96,79.71,
312,Mahon,ES,82.4,few clouds,39.89,4.27,ARTIEM Capri
314,Haimen,CN,80.6,broken clouds,23.19,116.61,Jinghao Business Hotel
315,Novyy Starodub,UA,71.53,scattered clouds,48.52,33.17,
317,Huntsville,US,75.99,moderate rain,34.73,-86.59,Embassy Suites by Hilton Huntsville Hotel & Spa
318,Owando,CG,74.57,overcast clouds,-0.48,15.9,Exaunel Hotel Owando
319,Padang,ID,78.04,light rain,-0.95,100.35,Mercure Padang
320,Ahuimanu,US,82.4,few clouds,21.44,-157.84,Paradise Bay Resort
321,Denpasar,ID,77.0,few clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
322,Kijang,KR,77.0,few clouds,35.24,129.21,Brown Dot Gijang Yeonhwari
325,Kudat,MY,82.4,few clouds,6.88,116.85,Dream Garden Hotel
330,Trelew,AR,70.25,clear sky,-43.25,-65.31,Hotel Touring Club
331,Anuradhapura,LK,76.84,scattered clouds,8.36,80.42,Nilketha Villa Eco Hotel
332,Amahai,ID,76.59,light rain,-3.33,128.92,Peternakan Ayam Bangkok Manisso
337,Barra Patuca,HN,81.36,overcast clouds,15.8,-84.28,
338,Saint Anthony,US,86.0,scattered clouds,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
